Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
Found 1 shards at wikitext-103/wiki.valid.tokens.sent
Loading data from: wikitext-103/wiki.valid.tokens.sent
Loaded 11357 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=68, batch_perplexity=592.1051, avg_perplexity=616.2668279490737, time=2.3666152954101562
batch=69, batch_perplexity=564.33203, avg_perplexity=615.4810334599265, time=2.4013376235961914
batch=70, batch_perplexity=637.27, avg_perplexity=615.7869969132661, time=2.4358017444610596
batch=71, batch_perplexity=389.88315, avg_perplexity=611.8356726750022, time=2.4710168838500977
batch=72, batch_perplexity=971.4928, avg_perplexity=615.777405653253, time=2.5053577423095703
batch=73, batch_perplexity=773.55457, avg_perplexity=617.7045986025059, time=2.539597272872925
batch=74, batch_perplexity=663.21545, avg_perplexity=618.298293580238, time=2.5742485523223877
batch=75, batch_perplexity=290.5254, avg_perplexity=612.1030285773663, time=2.6089675426483154
batch=76, batch_perplexity=373.10883, avg_perplexity=608.1290167195255, time=2.642477512359619
batch=77, batch_perplexity=389.18692, avg_perplexity=604.6142192415438, time=2.676978588104248
batch=78, batch_perplexity=511.67368, avg_perplexity=603.3218559772017, time=2.711851119995117
batch=79, batch_perplexity=887.72833, avg_perplexity=606.2785955894851, time=2.7467377185821533
batch=80, batch_perplexity=674.51587, avg_perplexity=607.0874219313646, time=2.7813546657562256
batch=81, batch_perplexity=859.75836, avg_perplexity=609.7010991676509, time=2.815988063812256
batch=82, batch_perplexity=1539.0101, avg_perplexity=616.6247266801586, time=2.850794553756714
batch=83, batch_perplexity=1151.5349, avg_perplexity=621.2824452533756, time=2.8852951526641846
batch=84, batch_perplexity=611.25543, avg_perplexity=621.1621140853396, time=2.9202871322631836
batch=85, batch_perplexity=741.19196, avg_perplexity=622.454506177151, time=2.9551525115966797
batch=86, batch_perplexity=711.40344, avg_perplexity=623.4220103559247, time=2.9900362491607666
batch=87, batch_perplexity=443.1035, avg_perplexity=620.9802654529328, time=3.0242602825164795
batch=88, batch_perplexity=436.97415, avg_perplexity=618.5053451170024, time=3.058729887008667
batch=89, batch_perplexity=505.27478, avg_perplexity=617.1017279530453, time=3.0936508178710938
batch=90, batch_perplexity=573.1747, avg_perplexity=616.5956151717253, time=3.1279122829437256
batch=91, batch_perplexity=807.03534, avg_perplexity=618.4220426198574, time=3.156245231628418
batch=92, batch_perplexity=524.8117, avg_perplexity=617.3197373871978, time=3.1909024715423584
batch=93, batch_perplexity=418.57965, avg_perplexity=614.746180902176, time=3.225395679473877
batch=94, batch_perplexity=449.09952, avg_perplexity=612.6963213341506, time=3.2599830627441406
batch=95, batch_perplexity=447.8032, avg_perplexity=610.677656231125, time=3.2943761348724365
batch=96, batch_perplexity=483.5615, avg_perplexity=609.1948086942986, time=3.329179048538208
batch=97, batch_perplexity=521.4129, avg_perplexity=608.2183939798239, time=3.3639049530029297
batch=98, batch_perplexity=592.9474, avg_perplexity=608.0605978649457, time=3.3986570835113525
batch=99, batch_perplexity=753.3129, avg_perplexity=609.3776822153046, time=3.432490348815918
batch=100, batch_perplexity=845.53076, avg_perplexity=611.3768261097965, time=3.4671943187713623
batch=101, batch_perplexity=558.6165, avg_perplexity=610.8307643014296, time=3.5003278255462646
batch=102, batch_perplexity=682.76105, avg_perplexity=611.4978023681717, time=3.5347156524658203
batch=103, batch_perplexity=591.7122, avg_perplexity=611.3025641257187, time=3.5696258544921875
batch=104, batch_perplexity=443.11346, avg_perplexity=609.4141742674258, time=3.6043319702148438
batch=105, batch_perplexity=376.68073, avg_perplexity=606.6282825589655, time=3.6354310512542725
batch=106, batch_perplexity=544.6795, avg_perplexity=606.0121319088641, time=3.669699192047119
batch=107, batch_perplexity=515.7232, avg_perplexity=605.0991023588465, time=3.7042155265808105
batch=108, batch_perplexity=544.8523, avg_perplexity=604.5117828277802, time=3.738863706588745
batch=109, batch_perplexity=509.81888, avg_perplexity=603.5676764446908, time=3.773677110671997
batch=110, batch_perplexity=346.3439, avg_perplexity=600.5277467677478, time=3.8078582286834717
