Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
Found 1 shards at wikitext-2/wiki.test.tokens
Loading data from: wikitext-2/wiki.test.tokens
Loaded 4358 sentences.
Finished loading
USING SKIP CONNECTIONS
batch=68, batch_perplexity=827.1413, avg_perplexity=891.5641849061694, time=2.3530831336975098
batch=69, batch_perplexity=839.1403, avg_perplexity=890.7815101395643, time=2.3875572681427
batch=70, batch_perplexity=1069.7189, avg_perplexity=893.1139761560594, time=2.4219131469726562
batch=71, batch_perplexity=946.6826, avg_perplexity=893.8470041051606, time=2.4565787315368652
batch=72, batch_perplexity=1186.4625, avg_perplexity=897.3696873202856, time=2.490058422088623
batch=73, batch_perplexity=1150.1033, avg_perplexity=900.4251849019519, time=2.524319887161255
batch=74, batch_perplexity=780.43463, avg_perplexity=898.6866598419297, time=2.5581729412078857
batch=75, batch_perplexity=836.50446, avg_perplexity=897.8278948548792, time=2.5930392742156982
batch=76, batch_perplexity=817.29944, avg_perplexity=896.7184306284961, time=2.627476930618286
batch=77, batch_perplexity=1228.182, avg_perplexity=900.3890572247296, time=2.66180157661438
batch=78, batch_perplexity=891.49097, avg_perplexity=900.2744191545919, time=2.696545362472534
batch=79, batch_perplexity=1318.0786, avg_perplexity=904.6293781998917, time=2.7311575412750244
batch=80, batch_perplexity=888.9966, avg_perplexity=904.4322819387063, time=2.765442371368408
batch=81, batch_perplexity=790.3138, avg_perplexity=902.9275169614498, time=2.800022840499878
batch=82, batch_perplexity=1390.0009, avg_perplexity=907.6905057350624, time=2.834599733352661
batch=83, batch_perplexity=1117.4191, avg_perplexity=909.9666649251373, time=2.869053602218628
batch=84, batch_perplexity=732.19006, avg_perplexity=907.6149782963569, time=2.9036476612091064
batch=85, batch_perplexity=1110.4009, avg_perplexity=909.7707836699124, time=2.9363200664520264
batch=86, batch_perplexity=731.2882, avg_perplexity=907.4634778889005, time=2.9703378677368164
batch=87, batch_perplexity=995.06274, avg_perplexity=908.4251941951894, time=3.0043365955352783
batch=88, batch_perplexity=1100.4204, avg_perplexity=910.4066348836595, time=3.0391738414764404
batch=89, batch_perplexity=818.76495, avg_perplexity=909.3220123246017, time=3.0736844539642334
batch=90, batch_perplexity=1180.1696, avg_perplexity=911.9599764758707, time=3.1083693504333496
batch=91, batch_perplexity=1110.0228, avg_perplexity=913.9317368969387, time=3.1428208351135254
batch=92, batch_perplexity=1098.8333, avg_perplexity=915.7639006590439, time=3.1774487495422363
batch=93, batch_perplexity=1140.0365, avg_perplexity=917.9234797939333, time=3.2106189727783203
batch=94, batch_perplexity=1168.3323, avg_perplexity=920.2820382087425, time=3.245018720626831
batch=95, batch_perplexity=873.9687, avg_perplexity=919.7819708030463, time=3.2799787521362305
batch=96, batch_perplexity=1082.514, avg_perplexity=921.3440970433383, time=3.3145081996917725
batch=97, batch_perplexity=774.2151, avg_perplexity=919.6930114480605, time=3.3490684032440186
batch=98, batch_perplexity=1266.8406, avg_perplexity=922.7032723856472, time=3.383676528930664
batch=99, batch_perplexity=780.8538, avg_perplexity=921.1488522553789, time=3.418433427810669
batch=100, batch_perplexity=1018.95825, avg_perplexity=922.0788936531833, time=3.452713966369629
batch=101, batch_perplexity=1080.605, avg_perplexity=923.5283842873556, time=3.4867019653320312
batch=102, batch_perplexity=1144.2311, avg_perplexity=925.4706171111297, time=3.5205979347229004
batch=103, batch_perplexity=851.8774, avg_perplexity=924.726409876704, time=3.5550312995910645
batch=104, batch_perplexity=954.4175, avg_perplexity=925.0074558578648, time=3.588987112045288
batch=105, batch_perplexity=1300.1267, avg_perplexity=928.0112427686524, time=3.623509168624878
batch=106, batch_perplexity=906.9036, avg_perplexity=927.8098365884764, time=3.657849073410034
batch=107, batch_perplexity=725.85156, avg_perplexity=925.6836795688525, time=3.6921443939208984
batch=108, batch_perplexity=760.89453, avg_perplexity=924.0049352175931, time=3.726809024810791
batch=109, batch_perplexity=838.7895, avg_perplexity=923.1850744498294, time=3.761587142944336
batch=110, batch_perplexity=968.4235, avg_perplexity=923.5866612611109, time=3.7953310012817383
batch=111, batch_perplexity=947.84845, avg_perplexity=923.8024396844619, time=3.829831123352051
batch=112, batch_perplexity=818.7688, avg_perplexity=922.8074433426128, time=3.8610308170318604
batch=113, batch_perplexity=886.0747, avg_perplexity=922.4757883528333, time=3.8952083587646484
batch=114, batch_perplexity=703.8158, avg_perplexity=920.2891670487996, time=3.929589033126831
batch=115, batch_perplexity=936.49664, avg_perplexity=920.4288854488607, time=3.9641051292419434
batch=116, batch_perplexity=972.6997, avg_perplexity=920.8672703839426, time=3.9984538555145264
batch=117, batch_perplexity=832.0339, avg_perplexity=920.0691947949856, time=4.031612396240234
batch=118, batch_perplexity=733.2484, avg_perplexity=918.3012104486033, time=4.066400527954102
batch=119, batch_perplexity=764.3579, avg_perplexity=916.8863484048073, time=4.101116418838501
batch=120, batch_perplexity=1145.5161, avg_perplexity=918.5889581116049, time=4.135470867156982
batch=121, batch_perplexity=915.80133, avg_perplexity=918.5658849024021, time=4.170327186584473
batch=122, batch_perplexity=1028.7944, avg_perplexity=919.4195634595831, time=4.204597473144531
batch=123, batch_perplexity=899.619, avg_perplexity=919.2568396557774, time=4.239053249359131
batch=124, batch_perplexity=909.1902, avg_perplexity=919.1752132638474, time=4.273789405822754
batch=125, batch_perplexity=850.6334, avg_perplexity=918.6055340056665, time=4.30839991569519
batch=126, batch_perplexity=801.5002, avg_perplexity=917.6118526348997, time=4.343007802963257
batch=127, batch_perplexity=864.4418, avg_perplexity=917.1806729647642, time=4.376220703125
batch=128, batch_perplexity=891.7469, avg_perplexity=916.9791868800947, time=4.410939455032349
batch=129, batch_perplexity=872.1245, avg_perplexity=916.6227533057636, time=4.445228815078735
batch=130, batch_perplexity=943.52045, avg_perplexity=916.8267031387963, time=4.479462623596191
batch=131, batch_perplexity=626.69244, avg_perplexity=914.1678314766262, time=4.510116100311279
batch=132, batch_perplexity=785.56885, avg_perplexity=913.1184839385379, time=4.544533729553223
batch=133, batch_perplexity=887.587, avg_perplexity=912.9238035395466, time=4.579145908355713
batch=134, batch_perplexity=777.08856, avg_perplexity=911.8269233686058, time=4.6133811473846436
batch=135, batch_perplexity=756.31757, avg_perplexity=910.5648239105976, time=4.6466593742370605
batch=136, batch_perplexity=703.4897, avg_perplexity=908.8389865960775, time=4.681059122085571
batch=137, batch_perplexity=725.8409, avg_perplexity=907.3486715411611, time=4.711057186126709
batch=138, batch_perplexity=1072.6128, avg_perplexity=908.4495057765783, time=4.745317220687866
batch=139, batch_perplexity=702.9773, avg_perplexity=906.7752242401881, time=4.779852628707886
batch=140, batch_perplexity=784.9585, avg_perplexity=905.8413139261986, time=4.812610149383545
batch=141, batch_perplexity=783.7926, avg_perplexity=904.9120532014366, time=4.847374439239502
batch=142, batch_perplexity=901.7437, avg_perplexity=904.8897020782199, time=4.881910085678101
