Wall time,Step,Value
1587408094.7553625,300,1074.1513671875
1587408614.2086983,950,508.4181213378906
1587408867.7785947,1250,405.22198486328125
1587409514.8528173,2050,284.8114318847656
1587409594.9294724,2150,284.25164794921875
1587409715.488546,2300,274.7841491699219
1587410035.557827,2700,218.97706604003906
1587410154.9538004,2850,219.32955932617188
1587410761.1996412,3600,177.36373901367188
1587410880.3903947,3750,159.80557250976562
1587411685.4668045,4750,132.1888427734375
1587412011.0152307,5150,120.08821868896484
1587412171.3255231,5350,129.57676696777344
1587412976.3719301,6350,92.76786804199219
1587413499.4036822,7000,87.36112213134766
1587414140.425634,7800,84.00030517578125
1587414259.8546488,7950,82.22772216796875
1587414625.322773,8400,85.57088470458984
1587415063.8236032,8950,77.14258575439453
1587415270.9505515,9200,76.8852310180664
1587415351.2241886,9300,74.09382629394531
1587415391.5370498,9350,80.24440002441406
1587415551.3169687,9550,70.70813751220703
1587416238.3360345,10400,69.94883728027344
1587416886.3020906,11200,63.26227951049805
1587417128.0863416,11500,61.95835494995117
1587417328.22715,11750,59.42292404174805
1587417936.895554,12500,59.578773498535156
1587418177.6275039,12800,56.62458419799805
1587418385.469305,13050,60.42971420288086
1587418666.6939461,13400,56.333106994628906
1587419292.8137887,13600,54.29061508178711
1587419373.5003471,13700,52.55275344848633
1587420157.0751584,14650,55.06474304199219
1587420816.9367661,15450,51.070438385009766
1587420898.3799078,15550,52.24712371826172
1587421223.9442196,15950,47.06358337402344
1587421721.061659,16550,48.01719284057617
1587422093.4968312,17000,47.9881706237793
1587422423.734014,17400,46.943363189697266
1587423086.2936535,18200,47.675235748291016
1587423250.4411407,18400,45.77459716796875
1587425481.2071788,21100,41.32493591308594
1587425522.2149384,21150,42.71572494506836
1587426221.650691,22000,43.35014343261719
1587426347.7028592,22150,40.77666091918945
1587426470.631698,22300,43.388492584228516
1587427092.0157657,23050,42.26475143432617
1587427215.0293603,23200,40.77003860473633
1587427256.5833395,23250,39.91259765625
1587427665.4772286,23750,37.70957565307617
1587428366.9728916,24600,38.1855354309082
1587428448.7004664,24700,40.41463851928711
1587429315.024436,25750,38.0496711730957
1587429437.400214,25900,38.398380279541016
1587430016.5897396,26600,38.769100189208984
1587430221.0340924,26850,37.41868591308594
1587431527.6293693,27900,35.62823486328125
1587431777.158287,28200,34.18212890625
1587432179.6770914,28700,36.84795379638672
1587432424.757072,29000,35.20101547241211
