Wall time,Step,Value
1594320172.2041075,25,20636.296875
1594320211.7756624,75,1387.8118896484375
1594320223.5901287,90,1181.794189453125
1594320247.375572,120,804.8229370117188
1594320311.1938403,200,473.2176513671875
1594320319.2419305,210,547.2871704101562
1594320327.2577374,220,587.855712890625
1594320331.2676222,225,478.59149169921875
1594320339.271015,235,493.6343688964844
1594320363.4524493,265,538.0243530273438
1594320367.5070274,270,458.4260559082031
1594320371.5569866,275,485.5472106933594
1594320375.583272,280,442.7801513671875
1594320412.048118,325,424.94146728515625
1594320436.5453706,355,424.84442138671875
1594320440.6114247,360,410.1091003417969
1594320444.7223687,365,365.7907409667969
1594320448.792645,370,400.0028991699219
1594320469.2473621,395,452.4869689941406
1594320502.116177,435,401.6238098144531
1594320530.9889557,470,392.1881408691406
1594320564.313937,510,378.50262451171875
1594320576.8775327,525,390.06964111328125
1594320581.1178818,530,348.3878173828125
1594320610.599947,565,331.9041748046875
1594320631.7795818,590,312.5755920410156
1594320666.3613558,630,259.46588134765625
1594320679.4698973,645,350.43682861328125
1594320683.7941146,650,288.3598937988281
1594320723.1633422,695,266.3908996582031
1594320732.101385,705,277.66802978515625
1594320736.5034204,710,261.0517578125
1594320771.6278653,750,266.4032287597656
1594320793.560929,775,247.29122924804688
1594320802.3982441,785,251.50669860839844
1594320806.837841,790,288.0362854003906
1594320846.9166877,835,227.93118286132812
1594320851.3878095,840,234.30575561523438
1594320864.8594596,855,223.79156494140625
1594320892.0273137,885,214.62681579589844
1594320896.5325432,890,245.19580078125
1594320919.266184,915,196.8479461669922
1594320928.3832972,925,216.81666564941406
1594320932.9984689,930,195.00543212890625
1594320951.3048644,950,222.47711181640625
1594320955.8814611,955,212.92681884765625
1594320988.2856205,990,172.94590759277344
1594321043.0733016,1030,195.43382263183594
1594321047.6972163,1035,167.46920776367188
1594321052.3612845,1040,174.13885498046875
1594321071.1117399,1060,174.84266662597656
1594321123.6802301,1115,185.31893920898438
1594321152.6499267,1145,180.22967529296875
1594321176.9425147,1170,172.54649353027344
1594321191.6054478,1185,182.35415649414062
1594321250.6425736,1245,149.7644500732422
1594321280.547895,1275,164.18426513671875
1594321305.426565,1300,150.2627410888672
1594321320.5199838,1315,163.0916290283203
1594321340.7496126,1335,166.8759765625
1594321361.0637488,1355,183.4935760498047
1594321371.3225129,1365,156.58401489257812
1594321397.022786,1390,168.19708251953125
1594321469.4656408,1460,166.0382080078125
1594321495.7705543,1485,190.6294403076172
