Wall time,Step,Value
1594527481.9889097,25,10392.1298828125
1594527521.6417904,75,2121.430419921875
1594527533.5053644,90,1141.4447021484375
1594527557.2875776,120,806.8068237304688
1594527620.9452817,200,542.0672607421875
1594527628.8933346,210,506.6453857421875
1594527636.8998091,220,453.9907531738281
1594527640.893005,225,482.6571350097656
1594527648.91344,235,429.1112060546875
1594527673.0811803,265,467.1824951171875
1594527677.161997,270,444.70501708984375
1594527681.1936162,275,471.75164794921875
1594527685.2271123,280,492.4485168457031
1594527721.7064757,325,473.7120666503906
1594527746.2438583,355,444.22772216796875
1594527750.3239696,360,454.5660705566406
1594527754.4258173,365,424.9596862792969
1594527758.529955,370,434.7791442871094
1594527779.120468,395,414.3871154785156
1594527812.1805148,435,384.5852966308594
1594527841.420168,470,354.0841064453125
1594527874.8985434,510,356.50286865234375
1594527887.490892,525,324.79541015625
1594527891.6917198,530,302.3926086425781
1594527921.2140558,565,343.0619812011719
1594527942.4342637,590,289.6735534667969
1594527976.526208,630,314.07635498046875
1594527989.30055,645,289.3276062011719
1594527993.6197877,650,300.8753356933594
1594528032.5181184,695,263.03826904296875
1594528041.2022324,705,312.1900939941406
1594528045.555793,710,245.43817138671875
1594528080.6866026,750,273.13787841796875
1594528102.721403,775,254.1783905029297
1594528111.539269,785,232.39524841308594
1594528115.9423053,790,248.76722717285156
1594528156.2108319,835,232.0234375
1594528160.7269716,840,226.0605926513672
1594528174.20535,855,215.89878845214844
1594528201.3034391,885,206.7437286376953
1594528205.8744528,890,184.88670349121094
1594528228.5980382,915,191.97518920898438
1594528237.6986065,925,229.35975646972656
1594528242.2921305,930,240.21685791015625
1594528260.7303402,950,197.12307739257812
1594528265.322262,955,179.82586669921875
1594528297.8716455,990,201.53480529785156
1594528352.6933234,1030,192.99179077148438
1594528357.4121997,1035,185.5801544189453
1594528362.1390328,1040,200.25070190429688
1594528381.1141381,1060,166.68997192382812
1594528433.8568575,1115,189.57493591308594
1594528462.8454409,1145,159.05242919921875
1594528487.1484375,1170,182.98199462890625
1594528501.8205478,1185,171.83241271972656
1594528560.5585961,1245,158.50677490234375
1594528590.2713523,1275,163.93080139160156
1594528615.1118584,1300,153.94308471679688
1594528620.1567993,1305,169.98687744140625
