Wall time,Step,Value
1594312630.2390537,25,10.234610557556152
1594312667.5195522,75,4.169569969177246
1594312678.8620408,90,4.688169479370117
1594312701.808652,120,3.9904770851135254
1594312765.7929683,200,3.594005584716797
1594312774.0681133,210,4.032520294189453
1594312782.2119098,220,3.556903123855591
1594312786.3212793,225,3.5172476768493652
1594312794.543408,235,3.397235155105591
1594312819.183773,265,3.4204845428466797
1594312823.249076,270,3.5461292266845703
1594312827.4368448,275,3.386061906814575
1594312831.5501351,280,3.2905068397521973
1594312869.5765343,325,3.2066256999969482
1594312895.1570957,355,2.995751142501831
1594312899.3809237,360,3.1833858489990234
1594312903.5501492,365,3.47853422164917
1594312908.045118,370,3.190847873687744
1594312929.6055295,395,2.948301315307617
1594312964.7684572,435,2.9053890705108643
1594312995.6411393,470,2.8875722885131836
1594313031.7369561,510,2.9137113094329834
1594313045.4116902,525,2.8063902854919434
1594313049.7769778,530,2.831463575363159
1594313081.732948,565,2.9603967666625977
1594313104.3856754,590,3.0650439262390137
1594313142.0404859,630,3.223968982696533
1594313155.7388752,645,3.291761875152588
1594313160.4439101,650,3.228712558746338
1594313202.6856623,695,3.31687593460083
1594313212.3268106,705,3.5556724071502686
1594313217.7078087,710,3.1862106323242188
1594313257.108105,750,3.252117395401001
1594313281.0208926,775,3.612823963165283
1594313290.6214895,785,3.7229301929473877
1594313295.5845413,790,3.4871065616607666
1594313340.55772,835,3.5209152698516846
1594313345.4388492,840,4.166316986083984
1594313360.059687,855,3.7573342323303223
1594313389.9548924,885,3.916426658630371
1594313395.4063575,890,4.0053629875183105
1594313422.0896206,915,3.931091547012329
1594313432.3533294,925,4.092051029205322
1594313437.249656,930,4.402151107788086
1594313459.102328,950,4.797356605529785
1594313465.480997,955,4.755672454833984
1594313502.320463,990,4.255945205688477
1594313554.306124,1030,4.856546878814697
1594313559.683107,1035,4.799189567565918
1594313564.7821941,1040,4.870021343231201
1594313585.6694055,1060,4.8687567710876465
1594313645.4555092,1115,4.878812789916992
1594313678.936927,1145,4.954425811767578
1594313707.0250156,1170,5.593209743499756
1594313724.3990057,1185,5.382875919342041
1594313793.32275,1245,6.193706035614014
1594313828.6963272,1275,6.466101169586182
1594313858.7020078,1300,6.550999641418457
1594313864.3126824,1305,6.856566429138184
